Gene ID,log2FC,p-value,Significant
SYCE1,-0.975037563,1.58E-06,Yes
KCNK4,-0.978651406,1.62E-06,Yes
C8orf34,-0.929883083,1.65E-06,Yes
GJB2,1.390229684,1.68E-06,Yes
MTHFD2,2.123921172,1.78E-06,Yes
SPACDR,3.427551129,1.82E-06,Yes
RASAL1,-0.597569849,1.87E-06,Yes
ENSA,-0.493544758,1.93E-06,Yes
CYTH3,-0.553168725,1.95E-06,Yes
ST8SIA5,-1.214204725,1.96E-06,Yes
KNCN,-1.563551615,2.04E-06,Yes
RBFOX3,-0.602958923,2.05E-06,Yes
SEC14L5,-1.406009166,2.09E-06,Yes
ADAM11,-1.109679002,2.10E-06,Yes
TYRO3,-0.728260075,2.21E-06,Yes
PROM1,-0.900715288,2.33E-06,Yes
IGDCC4,1.568979205,2.45E-06,Yes
NICN1,-0.726603305,2.53E-06,Yes
EGR4,-1.130304455,2.56E-06,Yes
KCNK4-TEX40,-1.006808089,2.64E-06,Yes
RPL23P8,0.853070214,2.92E-06,Yes
VWA5A,0.756088801,2.96E-06,Yes
TRIM25,0.585625297,3.01E-06,Yes
ACKR3,1.344905568,3.06E-06,Yes
SMIM10L2B,-0.61111951,3.14E-06,Yes
SPG7,-0.362230225,3.15E-06,Yes
PRKX,1.110032245,3.16E-06,Yes
FAS,1.310707486,3.32E-06,Yes
PTPRE,-0.70251093,3.37E-06,Yes
ASAP1,-0.80079496,3.45E-06,Yes
DPYSL3,0.659476016,3.63E-06,Yes
TRIB2,-0.513417445,3.78E-06,Yes
SRCIN1,-0.54598936,3.83E-06,Yes
C21orf62,2.170547959,3.98E-06,Yes
KIF21B,-0.915929931,4.38E-06,Yes
DHRS7,0.723285849,4.45E-06,Yes
FSD1,-0.465864578,4.45E-06,Yes
C1R,1.754864494,4.70E-06,Yes
ANAPC7,-0.414889418,4.74E-06,Yes
IFITM2,1.819805749,4.86E-06,Yes
PTH2R,-1.8224106,4.89E-06,Yes
NQO1,2.709146558,4.91E-06,Yes
ZNF395,0.698972568,4.93E-06,Yes
NPM1,0.43600827,4.97E-06,Yes
HMGB2,1.106117966,5.00E-06,Yes
FBLN7,-1.755093753,5.21E-06,Yes
VWA3B,1.409435324,5.29E-06,Yes
A4GALT,1.526379334,5.33E-06,Yes
INKA2,-1.011221352,5.34E-06,Yes
RAC2,2.471798374,5.53E-06,Yes
POMZP3,0.648302947,5.56E-06,Yes
TIMP1,1.9030264,5.61E-06,Yes
NUTM2B,-0.928427978,5.63E-06,Yes
CECR7,-1.544243816,5.70E-06,Yes
OTOGL,-1.53390305,5.74E-06,Yes
LOC107984316,-1.072343386,5.89E-06,Yes
LINC02884,2.159621368,6.14E-06,Yes
RBM5,-0.73163143,6.26E-06,Yes
RHOBTB2,-0.777525993,6.33E-06,Yes
IFI30,2.283264797,6.34E-06,Yes
ZNF275,0.437059586,6.40E-06,Yes
MAP7D3,1.047576768,6.42E-06,Yes
ASIC1,-0.794809094,6.53E-06,Yes
TPPP,-0.660340259,6.70E-06,Yes
CABP1,-0.707579426,6.81E-06,Yes
